,,,
,"Indoor air pollution death rate
deaths per 100,000 people","Share of population with access to clean fuels for cooking
percent",World region according to OWID
Country or region,2023,2023,2023
Afghanistan,224.3,38.60%,Asia
Africa (WHO),,24.25%,
African Region (WHO),101.6,,
Aland Islands,,,Europe
Albania,12.3,86.10%,Europe
Algeria,0,99.70%,Africa
American Samoa,20.9,,Oceania
Americas (WHO),4.2,92.90%,
Andorra,0.1,100.00%,Europe
Angola,58.1,50.20%,Africa
Anguilla,,,North America
Antigua and Barbuda,0.3,100.00%,North America
Argentina,0,99.90%,South America
Armenia,0.8,98.80%,Asia
Aruba,,,North America
Australia,0.1,100.00%,Oceania
Australia and New Zealand (UN),,100.00%,
Austria,0.3,100.00%,Europe
Austria-Hungary,,,Europe
Azerbaijan,3.1,98.90%,Asia
Bahamas,0.2,100.00%,North America
Bahrain,0.4,100.00%,Asia
Bangladesh,190,28.40%,Asia
Barbados,0.1,100.00%,North America
Belarus,0.1,99.70%,Europe
Belgium,0.1,100.00%,Europe
Belize,16.8,82.90%,North America
Benin,114.5,6.00%,Africa
Bermuda,0.4,,North America
Bhutan,15.9,91.60%,Asia
Bolivia,18.5,90.60%,South America
Bonaire Sint Eustatius and Saba,,,North America
Bosnia and Herzegovina,24.4,39.50%,Europe
Botswana,15.2,66.40%,Africa
Brazil,2.2,96.50%,South America
British Indian Ocean Territory,,,Asia
British Virgin Islands,,,North America
Brunei,0.5,100.00%,Asia
Bulgaria,3.8,,Europe
Burkina Faso,104.3,17.00%,Africa
Burundi,151.5,0.10%,Africa
Cambodia,137.1,58.00%,Asia
Cameroon,129.1,30.70%,Africa
Canada,0,100.00%,North America
Cape Verde,32,83.90%,Africa
Cayman Islands,,,North America
Central African Republic,219,1.00%,Africa
Central Asia (UN),,84.47%,
Central and Southern Asia (UN),,69.47%,
Chad,202.5,9.70%,Africa
Chile,1.3,100.00%,South America
China,10.2,88.70%,Asia
Christmas Island,,,Asia
Cocos Islands,,,Asia
Colombia,1.3,91.80%,South America
Comoros,71.3,10.40%,Africa
Congo,90.5,40.10%,Africa
Cook Islands,1,74.70%,Oceania
Costa Rica,1.5,96.60%,North America
Cote d'Ivoire,111.3,44.10%,Africa
Croatia,1.5,100.00%,Europe
Cuba,1.3,94.90%,North America
Curacao,,,North America
Cyprus,0.1,100.00%,Europe
Czechia,0.3,100.00%,Europe
Czechoslovakia,,,Europe
Democratic Republic of Congo,180.3,5.00%,Africa
Democratic Republic of Vietnam,,,Asia
Denmark,0.1,100.00%,Europe
Djibouti,39.6,10.00%,Africa
Dominica,7.7,86.20%,North America
Dominican Republic,6.6,93.50%,North America
Duchy of Modena and Reggio,,,Europe
Duchy of Parma and Piacenza,,,Europe
East Asia and Pacific (WB),16.9,,
East Germany,,,Europe
East Timor,181,19.10%,Asia
Eastern Asia (UN),,88.65%,
Eastern Asia and South-Eastern Asia (UN),,86.09%,
Eastern Mediterranean (WHO),49.3,73.91%,
Ecuador,3.2,94.70%,South America
Egypt,0.8,99.90%,Africa
El Salvador,14.1,94.40%,North America
Equatorial Guinea,6.8,22.10%,Africa
Eritrea,117.8,12.00%,Africa
Estonia,0.8,100.00%,Europe
Eswatini,59.3,50.30%,Africa
Ethiopia,123.9,7.10%,Africa
Ethiopia (former),,,Africa
Europe (WHO),,97.27%,
Europe and Central Asia (WB),2,,
European Region (WHO),1.9,,
Falkland Islands,,,South America
Faroe Islands,,,Europe
Federal Republic of Central America,,,North America
Fiji,39.4,54.10%,Oceania
Finland,0,100.00%,Europe
France,0.1,100.00%,Europe
French Guiana,,,South America
French Polynesia,,,Oceania
Gabon,3.2,91.40%,Africa
Gambia,151.9,1.60%,Africa
Georgia,9.6,93.20%,Asia
Germany,0.2,100.00%,Europe
Ghana,124.7,32.80%,Africa
Gibraltar,,,Europe
Grand Duchy of Baden,,,Europe
Grand Duchy of Tuscany,,,Europe
Great Colombia,,,South America
Greece,0.1,100.00%,Europe
Greenland,0,,North America
Grenada,3.2,84.20%,North America
Guadeloupe,,,North America
Guam,3.1,,Oceania
Guatemala,61.6,46.50%,North America
Guernsey,,,Europe
Guinea,182.1,1.00%,Africa
Guinea-Bissau,206.8,0.80%,Africa
Guyana,3.4,100.00%,South America
Haiti,259.4,4.50%,North America
High-income countries,0.3,,
Honduras,80.8,50.30%,North America
Hong Kong,,,Asia
Hungary,3.6,100.00%,Europe
Iceland,0.1,100.00%,Europe
India,87,76.70%,Asia
Indonesia,18.8,90.60%,Asia
Iran,0.1,95.70%,Asia
Iraq,0.8,99.50%,Asia
Ireland,0.1,100.00%,Europe
